object,night,t_fit,alpha,delta,alpha_dot,delta_dot,a_kep,e,i,Omega,omega,M,a_equ,h,k,p,q,lambda
2023XN1,4,60284.42869212963,1.1339188892932743,0.5840157717244882,0.058643544813094195,-0.004751615469558601,2.5286,0.635902,1.62,46.983,339.636,135.186,2.529042703032025,0.284868178004376,0.568978601169071,0.010347619920596,0.009653073640518,34.9002076018609
2024XB6,1,60649.31443287037,0.9578668004240849,0.39409117570266206,-0.003009107082789342,-0.046682080880998456,1.22924,0.229771,9.426,253.381,239.183,69.694,1.2290806466355997,0.169053886937538,-0.155364126875132,-0.079209482672108,-0.023530156746739,93.4999928264189
2024XB6,2,60650.85377314815,0.9594649402424945,0.31764265165775135,0.0031877900804602177,-0.054031475152214625,1.22924,0.229771,9.426,253.381,239.183,69.694,1.2290806466355997,0.169053886937538,-0.155364126875132,-0.079209482672108,-0.023530156746739,93.4999928264189
2024XB6,3,60651.152280092596,0.9597383751586401,0.30167822195249544,-0.0025296828841638542,-0.053966568194891706,1.22924,0.229771,9.426,253.381,239.183,69.694,1.2290806466355997,0.169053886937538,-0.155364126875132,-0.079209482672108,-0.023530156746739,93.4999928264189
2023BH6,1,59971.37128472222,2.0554442985882293,0.4268256015257055,-0.0005911970756642404,0.057345626538449324,1.39072,0.376003,5.978,125.102,64.665,108.111,1.3907405999908744,-0.063749272766771,-0.370789393399091,0.043085580623268,-0.030425089511265,160.1940145076595
2023BH6,2,59972.21265046296,2.0625084460136245,0.48354400256007823,0.010584733456198592,0.07918885222898098,1.39072,0.376003,5.978,125.102,64.665,108.111,1.3907405999908744,-0.063749272766771,-0.370789393399091,0.043085580623268,-0.030425089511265,160.1940145076595
2023BH6,3,59973.157743055555,2.0726439365902163,0.5669619656777791,0.0095051502721617,0.10527930302350796,1.39072,0.376003,5.978,125.102,64.665,108.111,1.3907405999908744,-0.063749272766771,-0.370789393399091,0.043085580623268,-0.030425089511265,160.1940145076595
2014GM35,1,56754.43817129629,3.552208994501282,0.12612427914064578,-0.13759090528037632,-0.12297567193854775,2.46954,0.789545,4.296,183.96,279.374,310.677,2.485854625108029,0.764495193193476,-0.176645219043808,-0.008870220396122,-0.035468782236681,114.6540948857448
2014GM35,2,56755.24255787037,3.495175270648716,0.06890608368241724,-0.051206646845457726,-0.04188222391394447,2.46954,0.789545,4.296,183.96,279.374,310.677,2.485854625108029,0.764495193193476,-0.176645219043808,-0.008870220396122,-0.035468782236681,114.6540948857448
2025MO19,1,60797.10513888889,3.2803704001226097,0.17263861270323363,-0.003488072663458297,-0.0030582596365889003,1.31753,0.118862,3.372,79.663,179.568,326.349,1.3175259345103256,-0.116765511618945,-0.022208539173925,0.028956644051714,0.005281438367137,224.3379516394119
2025MO19,2,60798.08431712963,3.278079146425002,0.16956203356428062,-0.003200602785661033,-0.0032045398655782265,1.31753,0.118862,3.372,79.663,179.568,326.349,1.3175259345103256,-0.116765511618945,-0.022208539173925,0.028956644051714,0.005281438367137,224.3379516394119
2025MO19,3,60799.1165625,3.2759016300169823,0.16613032840391492,-0.002926677016983348,-0.0034518646645693707,1.31753,0.118862,3.372,79.663,179.568,326.349,1.3175259345103256,-0.116765511618945,-0.022208539173925,0.028956644051714,0.005281438367137,224.3379516394119
2007RF1,1,54346.29331018519,5.738867291698551,-0.2226870440756376,-0.09822899029018117,-0.06415994097251598,0.840345,0.236022,2.648,158.769,352.374,211.163,0.835537348861717,0.115696013727121,-0.20782532334552,0.007776476010403,-0.021377797235642,346.4738117914708
2007RF1,2,54347.13082175926,5.665549645924876,-0.27511091704137397,-0.08997887890836864,-0.05958285052076917,0.840345,0.236022,2.648,158.769,352.374,211.163,0.835537348861717,0.115696013727121,-0.20782532334552,0.007776476010403,-0.021377797235642,346.4738117914708
2007RF1,3,54348.888078703705,5.50856746079529,-0.3755541306799665,-0.07709825487336275,-0.0643897881132034,0.840345,0.236022,2.648,158.769,352.374,211.163,0.835537348861717,0.115696013727121,-0.20782532334552,0.007776476010403,-0.021377797235642,346.4738117914708
2008WO2,1,54790.32670138889,0.8014042870792796,0.30717649390995866,0.013206299255671183,-0.037262043978614656,1.02514,0.188168,2.01,238.016,85.881,19.388,1.024882210128664,-0.111731439345572,0.152373640826295,-0.014936206069678,-0.009258600252726,36.9584844906024
